字符 频率   编码
t    11515 1111
l    5847  11101
.    1512  1110011
J    93    11100101111
L    45    111001011101
z    45    111001011100
D    42    111001011011
:    40    111001011010
O    80    11100101100
S    339   111001010
C    160   1110010011
q    153   1110010010
6    2     0011001011111010
U    15    0011001011110
V    9     00110010111111
9    4     001100101110111
4    4     001100101111100
o    9890  1100
Q    4     001100101110110
2    1     0011001011101010
m    3494  00100
T    430   00110011
7    1     0011001011100101
r    7643  0100
K    1     0011001011100100
1    5     00110010111000
d    6281  0000
)    18    1011100101100
,    1938  001101
g    2761  111000
f    2878  00010
F    188   001100000
w    3518  00101
3    3     001100101110100
n    9253  1010
P    50    00110000111
E    95    0011000010
5    2     0011001011111011
p    2149  101100
R    49    00110000110
"    391   00110001
0    2     0011001011101011
k    985   0011101
M    197   001100100
!    112   0011001010
X    3     001100101110011
u    3428  00011
;    56    00110010110
v    1192  1011101
'    233   001110000
b    2029  001111
j    120   0011100010
W    120   0011100011
N    245   001110010
I    261   001110011
s    7685  0101
i    7886  0110
h    8491  0111
-    292   101110011
e    17214 100
y    2173  101101
x    274   101110000
B    280   101110001
H    141   1011100100
?    67    10111001010
G    18    1011100101101
(    18    1011100101110
c    2663  101111
Y    21    1011100101111
a    10834 1101
A    312   111001000
